content,dealy,client,total op,union,split,time(u)(ms),time(s)(ms),mem(server+n clients),ot calls(server),max_ot,max_duration(ms),remark,Delay(47.100.34.153),Delay(47.99.201.21),,,,,,
6*1000 op delay 5ms ufs 4 upercent 0.4,,6,6000,2400,3600,49.9,44.49,1.87G+370.36M+338.19M+400.36M+376.24M+315.78M+349.32M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
change union,,,,,,,,,,,,,,,,,,,,
5ms,,6,2400,960,1440,97.7,7.8,293.72M+52.02M+39.46M+12.02M+73.71M+74.47M+60.66M ,7,1,0.4,2352,1517,36832.8,,,,,,
15ms,,6,2400,960,1440,174.51,7.4,244.2M+6.36M+44.49M+62.01M+62.51M+17.64M+75.77M ,2083,1449,31284.04,,,,,,,,,
25ms,,6,2400,960,1440,161.73,6.84,213M+50.79M+52.47M+31.99M+25.35M+47.91M+16.98M ,2294,1051,33902.28,,,,,,,,,
35ms,,6,2400,960,1440,77.12,7.1,277.79M+16.38M+63.55M+73.84M+46.48M+22.15M+68.02M ,2315,1767,29041.14,,,,,,,,,
45ms,,6,2400,960,1440,104.93,7.09,277.4M+11.78M+45.16M+50.74M+63.3M+66.46M+63.18M ,2108,1637,35105,,,,,,,,,
55ms,,6,2400,960,1440,133.08,7.71,275.89M+11.31M+68.61M+50.41M+36.63M+61.15M+64.73M ,2243,1728,50232.28,,,,,,,,,
65ms,,6,2400,960,1440,75.17,7.22,275.99M+14.71M+73.78M+52.23M+48.96M+28.98M+75.04M ,2269,1520,34792.73,,,,,,,,,
75ms,,6,2400,960,1440,119.5,7.45,259.76M+21.02M+57.19M+60.43M+38.04M+27.04M+71.12M ,2254,1229,37483.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5ms,,8,2400,960,1440,104.01,7.83,319.63M+27.45M+45.3M+15.82M+67.24M+29.34M+55.89M+50.67M+43.51M ,2354,1885,37961.1,,,,,,,,,
15ms,,8,2400,960,1440,109.41,7.78,342.04M+63.78M+44.57M+42.72M+61.59M+18.03M+56.73M+31.54M+31.54M ,2393,1933,103962.56,,,,,,,,,
25ms,,8,2400,960,1440,124.27,7.13,314.02M+7.41M+38.7M+46.83M+58.02M+25.82M+57.71M+60.87M+51.25M ,2180,1858,38628.69,,,,,,,,,
35ms,,8,2400,960,1440,158.07,7.62,305.76M+17.77M+43.9M+33.43M+56.47M+18.47M+56.55M+48.4M+46.99M ,2386,1775,37284.5,,,,,,,,,
45ms,,8,2400,960,1440,113.38,6.94,316.5M+11.41M+71.34M+84.22M+40.41M+8.56M+61.93M+40.59M+44.06M ,2225,1636,29018.4,,,,,,,,,
55ms,,8,2400,960,1440,123.98,7.45,297.42M+7.87M+74.37M+60.53M+65.58M+20.2M+44.14M+20.75M+35M ,2242,1530,27616.52,,,,,,,,,
65ms,,8,2400,960,1440,88.1,7.27,320.95M+35.74M+52.73M+61.99M+69.35M+24.35M+40.8M+29.25M+18.98M ,2386,1525,22319.74,,,,,,,,,
75ms,,8,2400,960,1440,101.82,7.72,300.27M+17.37M+56.58M+35.63M+54.36M+14.86M+44.74M+40.85M+50.55M ,2383,1924,46797.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5ms,,10,2400,960,1440,125.1,7.52,333.09M+33.51M+27.15M+51.6M+43.15M+17.29M+37.34M+21.86M+39.78M+30.31M+48.92M,,,,,,,,,,,,
15ms,,10,2400,960,1440,201.34,7.78,332.02M+39.49M+22.53M+39.93M+34.32M+13.34M+47.94M+35.4M+39.88M+42.04M+40.14M ,2390,1903,126789.92,,,,,,,,,
25ms,,10,2400,960,1440,172.27,8.32,337.52M+42.07M+31.32M+36.52M+49.14M+20.47M+43.62M+27.14M+41.34M+29.41M+39.06M ,2398,1967,82548.77,,,,,,,,,
35ms,,10,2400,960,1440,205.58,7.73,306.88M+39.38M+31.86M+19.24M+26.51M+43.7M+44.38M+31.97M+48.88M+31.59M+11.73M ,2392,1903,95611.59,,,,,,,,,
45ms,,10,2400,960,1440,145.34,8.17,339.01M+34.6M+44.05M+39.17M+25.49M+49.75M+44.25M+22.86M+26.6M+32.49M+42.69M ,2391,1903,60376.16,,,,,,,,,
55ms,,10,2400,960,1440,173.64,7.31,325.08M+46.67M+29.04M+35.85M+41.72M+29.1M+30.26M+40.04M+14.51M+36.22M+44.02M ,2392,1972,44404.58,,,,,,,,,
65ms,,10,2400,960,1440,211.33,7.46,327.24M+48.76M+34.99M+6.83M+29.53M+24.26M+44.8M+43.03M+43.5M+32.87M+48.12M ,2324,1940,86815.2,,,,,,,,,
75ms,,10,2400,960,1440,208.17,7.64,326.49M+43.31M+40.42M+23.05M+13.16M+41.97M+41.41M+56.14M+30.14M+25.68M+29.8M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5ms,,10,2400,960,1440,125.1,7.52,333.09M+33.51M+27.15M+51.6M+43.15M+17.29M+37.34M+21.86M+39.78M+30.31M+48.92M,,,,,,,,,,,,
5ms,,10,2400,960,1440,161.22,8.64,344.45M+33.65M+38.41M+30.36M+40.77M+37.47M+46.8M+38.41M+23.43M+38.02M+42.14M ,2395,1899,92416.82,,,,,,,,,
15ms,,10,2400,960,1440,163.12,6.95,327.16M+35.38M+27.51M+44.35M+51.84M+7.53M+47.89M+20.27M+46.55M+36.52M+48.05M,,,,,,,,,,,,
25ms,,10,2400,960,1440,192.22,7.61,322.51M+41.47M+28.87M+23.1M+35.21M+15.22M+42.21M+36.78M+41.84M+39.4M+46.17M,,,,,,,,,,,,
35ms,,10,2400,960,1440,189.54,7.53,330.68M+53.49M+40.66M+26.44M+36.85M+26.04M+45.39M+27.34M+42.81M+17.84M+31.9M,,,,,,,,,,,,
45ms,,10,2400,960,1440,177.29,7.4,331.79M+25.58M+35.98M+37.15M+42.93M+15.93M+30.47M+43.56M+42.99M+39.22M+45.79M,,,,,,,,,,,,
55ms,,10,2400,960,1440,172.5,7.32,322.07M+21.58M+37.17M+42.53M+41.35M+12.82M+46.1M+52.1M+20.56M+27.21M+44.7M,,,,,,,,,,,,
65ms,,10,2400,960,1440,196.18,7.16,319.81M+31.53M+35.67M+25.51M+15.67M+43.6M+19.07M+47.64M+49.31M+28.92M+40.76M,,,,,,,,,,,,
